K,Kondisi,run,Faithfulness,Answer_Relevancy,Precision@K,Recall@K,Hit@K
3,Baseline,1,0.667,0.8954,0.7465,0.8569,0.9097
3,Baseline,2,0.6517,0.8941,0.7465,0.8569,0.9097
3,Baseline,3,0.6171,0.8963,0.7465,0.8569,0.9097
3,Baseline,4,0.678,0.8889,0.7465,0.8569,0.9097
3,Baseline,5,0.6284,0.8952,0.7465,0.8569,0.9097
3,HyDE,1,0.6257,0.8681,0.7604,0.8384,0.8819
3,HyDE,2,0.6336,0.8623,0.7558,0.865,0.9097
3,HyDE,3,0.623,0.8633,0.7558,0.8523,0.8958
3,HyDE,4,0.6455,0.8749,0.7558,0.8593,0.9028
3,HyDE,5,0.6646,0.8696,0.7523,0.8616,0.9028
5,Baseline,1,0.7013,0.9126,0.6881,0.9056,0.9583
5,Baseline,2,0.7067,0.9132,0.6881,0.9056,0.9583
5,Baseline,3,0.6972,0.9136,0.6881,0.9056,0.9583
5,Baseline,4,0.6872,0.9132,0.6881,0.9056,0.9583
5,Baseline,5,0.6847,0.9116,0.6881,0.9056,0.9583
5,HyDE,1,0.6594,0.8924,0.7128,0.8859,0.9306
5,HyDE,2,0.6789,0.8977,0.7084,0.9021,0.9375
5,HyDE,3,0.6489,0.8904,0.7097,0.9067,0.9514
5,HyDE,4,0.6485,0.9,0.7008,0.8882,0.9306
5,HyDE,5,0.6718,0.8958,0.692,0.8789,0.9236
10,Baseline,1,0.7404,0.9117,0.622,0.9303,0.9653
10,Baseline,2,0.728,0.9057,0.622,0.9303,0.9653
10,Baseline,3,0.7307,0.9111,0.622,0.9303,0.9653
10,Baseline,4,0.7203,0.9112,0.622,0.9303,0.9653
10,Baseline,5,0.7223,0.9121,0.622,0.9303,0.9653
10,HyDE,1,0.7002,0.913,0.5997,0.9322,0.9653
10,HyDE,2,0.6762,0.9118,0.5917,0.9299,0.9653
10,HyDE,3,0.7144,0.9131,0.5992,0.9403,0.9722
10,HyDE,4,0.681,0.9193,0.6109,0.9299,0.9653
10,HyDE,5,0.7005,0.9245,0.6027,0.9472,0.9792
